epoch,loss,mse,val_loss,val_mse
0,25.7818546295166,0.4050401449203491,20.97419548034668,0.16193422675132751
1,17.61868667602539,0.12891548871994019,14.646716117858887,0.14364907145500183
2,12.431987762451172,0.1213146299123764,10.455670356750488,0.14301644265651703
3,8.937104225158691,0.11559200286865234,7.584268093109131,0.1275371015071869
4,6.542956829071045,0.11092768609523773,5.619375705718994,0.12775403261184692
5,4.888243198394775,0.10656873136758804,4.242696285247803,0.11418456584215164
6,3.7366275787353516,0.10454555600881577,3.284865140914917,0.11136389523744583
7,2.9237918853759766,0.10196878015995026,2.6084024906158447,0.11281894147396088
8,2.3437070846557617,0.10096991807222366,2.1085267066955566,0.10197003185749054
9,1.920107126235962,0.09906855970621109,1.7493892908096313,0.10268974304199219
10,1.6062573194503784,0.09826210141181946,1.4871017932891846,0.11044657230377197
11,1.3671985864639282,0.09657394140958786,1.2701537609100342,0.10053163021802902
12,1.1814281940460205,0.09466876089572906,1.1035161018371582,0.0960305780172348
13,1.035125494003296,0.09355145692825317,0.977914571762085,0.09993749111890793
14,0.9164421558380127,0.09167943894863129,0.8674510717391968,0.09431391209363937
15,0.8196372389793396,0.09008409827947617,0.7787657380104065,0.09171219170093536
16,0.7411003708839417,0.09014874696731567,0.7079713940620422,0.09235591441392899
17,0.6726928949356079,0.08742506057024002,0.6538569927215576,0.0981232300400734
18,0.6179407238960266,0.08769989013671875,0.5947549343109131,0.08972879499197006
19,0.5681355595588684,0.08494338393211365,0.5671985745429993,0.10558843612670898
20,0.5264591574668884,0.08343727141618729,0.5094308853149414,0.08486580103635788
21,0.4912647306919098,0.08282037824392319,0.48675981163978577,0.09419368952512741
22,0.46066954731941223,0.0819682627916336,0.446841299533844,0.0819513201713562
23,0.4345109760761261,0.08169568330049515,0.42412659525871277,0.08354320377111435
24,0.40872862935066223,0.07876454293727875,0.4041709005832672,0.08475460857152939
25,0.38801753520965576,0.07799654453992844,0.38036808371543884,0.07970515638589859
26,0.37035343050956726,0.07811819761991501,0.3629441559314728,0.07893036305904388
27,0.35410675406455994,0.07748273760080338,0.3457569479942322,0.07649180293083191
28,0.33795398473739624,0.07539190351963043,0.3319762647151947,0.07594753056764603
29,0.32505449652671814,0.07500898092985153,0.3188536465167999,0.07482235878705978
30,0.31328484416007996,0.07456005364656448,0.3061687648296356,0.07275869697332382
31,0.3027210533618927,0.07421816885471344,0.30142346024513245,0.07784340530633926
32,0.2912450134754181,0.07205316424369812,0.2890111207962036,0.07427022606134415
33,0.28175708651542664,0.07116683572530746,0.283722847700119,0.07726268470287323
34,0.27142906188964844,0.06870126724243164,0.28154706954956055,0.0826876163482666
35,0.26642945408821106,0.07098717987537384,0.277125746011734,0.08527655899524689
36,0.25812506675720215,0.06928200274705887,0.3100701570510864,0.12456583231687546
37,0.2497335970401764,0.06705723702907562,0.2495085895061493,0.06997402757406235
38,0.24412484467029572,0.06733901053667068,0.23965109884738922,0.06549786776304245
39,0.23925496637821198,0.06770683079957962,0.2401578426361084,0.07111271470785141
40,0.23300696909427643,0.0664803758263588,0.2328111082315445,0.06881362944841385
41,0.2257077395915985,0.06398336589336395,0.22379443049430847,0.06434550136327744
42,0.22106504440307617,0.0638265311717987,0.21762403845787048,0.06252597272396088
43,0.21571214497089386,0.0626879632472992,0.21932852268218994,0.06847802549600601
44,0.21072906255722046,0.061852049082517624,0.209787055850029,0.0628960132598877
45,0.20656290650367737,0.06155114993453026,0.20821262896060944,0.06503640860319138
46,0.20103400945663452,0.05965527519583702,0.20173001289367676,0.062217336148023605
47,0.19941097497940063,0.061604730784893036,0.19589564204216003,0.05964750424027443
48,0.1945125311613083,0.059899065643548965,0.1911439150571823,0.05807523801922798
49,0.19020558893680573,0.05873636528849602,0.18658451735973358,0.05660461261868477
50,0.18933962285518646,0.06084514036774635,0.20474709570407867,0.07762598991394043
